,"Pineapple Grapefruit Juice (Bottled or in a Carton, Canned)",grocery,2,115,27.3,0,0.28,0.5,4,1.1,0.028,1 cup,5,23.55,0,82
,"Chicken or Turkey A La King with Vegetables in Cream, White or Soup-Based Sauce (Including Carrots, Broccoli, and/or Dark-Green Leafy, No Potatoes)",grocery,15,465,16.41,190,33.38,1.4,10,24.41,12.002,1 cup,824,4.36,124,10
,Milk (2% Lowfat with Added Vitamin A),grocery,28,122,11.42,20,4.81,0,0,8.05,3.067,1 cup,100,12.35,9,1
,Evaporated Milk (with Added Vitamin A),grocery,8,42,3.16,9,2.38,0,0,2.15,1.446,1 fl oz,33,-,2,1
,Milk (Nonfat with Added Vitamin A),grocery,31,83,12.15,5,0.2,0,0,8.26,0.287,1 cup,103,12.47,10,0
,Frozen Whipped Gelatin on a Stick,grocery,0,33,7.52,0,0,0,0,0.65,0,1 bar (pop),40,7.15,0,0
,Milk (1% Lowfat with Added Vitamin A),grocery,29,102,12.18,12,2.37,0,0,8.22,1.545,1 cup,107,12.69,10,0
,"Milk (Nonfat with Added Vitamin A, Instant)",grocery,84,243,35.49,12,0.49,0,1,23.87,0.318,1 cup,373,35.49,32,6
,"Milk (Nonfat with Added Vitamin A, Dry)",grocery,151,434,62.38,24,0.92,0,2,43.39,0.599,1 cup,642,62.38,52,14
,Muffin in a Minute,grocery,23,333,15.08,186,26.25,12.5,22,13.07,5.506,1 medium,154,1.85,6,1
,"Chicken or Turkey A La King with Vegetables in Cream, White or Soup-Based Sauce",grocery,14,460,15.3,190,33.4,1.2,11,24.8,11.994,1 cup,952,3.93,28,8
,Egg Roll in a Bowl,grocery,9,280,10.6,56,19.76,3.6,11,16.09,6.604,1 bowl,739,5.64,6,77
,Puerto Rican Style Pork Chop Stewed with Vegetables (Chuletas A La Jardinera),grocery,6,221,14.9,63,6.98,2.1,12,25.47,2.249,1 cup,999,5.5,4,20
,Puerto Rican Style Fish A La Creole (Pescado Frito Con Mojo),grocery,4,326,8.39,83,21.36,1.7,7,25.18,3.834,"1 slice (4"" x 3-1/2"" x 1/2"") with sauce",1444,3.9,7,18
,"Mexican Style Stewed Beans with Pork, Tomatoes and Chili Peppers (Frijoles A La Charra)",grocery,5,341,23.35,27,21.54,4.6,13,13.77,7.541,1 cup,719,1.94,4,15
,Puerto Rican Style Creamed Christophine (Chayote A La Crema),grocery,5,150,26.18,44,4.41,1.6,4,2.38,1.274,"1 serving (1/2 chayote, 4-1/2"" x 3-1/2"" x 1-1/2"") (without shell)",301,18.81,3,8
,Puerto Rican Style Seafood Paella (Paella A La Marinera),grocery,12,331,21.51,168,10.24,1.6,33,36.43,2.088,1 cup,642,2.67,16,57
,Chicken A La King with Rice (Frozen Meal),grocery,11,449,40.32,126,22.81,1.3,14,19.58,8.17,1 Stouffer's meal (9.5 oz),1049,2.72,19,5
,Puerto Rican Style Biscayne Codfish (Bacalao A La Vizcaina),grocery,4,345,24.76,33,20.82,3.3,8,16.17,2.91,1 cup,397,6.98,4,34
,Puerto Rican Style Beef Stew (Carne A La Judia),grocery,2,419,12.79,86,27.63,1.9,19,28.74,8.564,1 cup,1080,1.79,3,23
,Puerto Rican Style Lobster Creole (Langosta A La Criolla),grocery,10,409,12.63,140,24.95,2.2,10,29.4,3.543,1 cup,1600,5.9,9,32
,Cuban Style Black Beans (Habichuelas Negras Guisadas A La Cubana),grocery,11,305,50,3,4.32,11.6,22,16.07,0.926,1 cup,1115,4.86,2,23
,Puerto Rican Style Eggs A La Malaguena (Huevos A La Malaguena),grocery,4,130,7.71,239,6.19,1.9,10,11.04,1.907,1 extra large,934,3.66,11,10
,"Seven-Layer Salad (Lettuce Salad Made with A Combination Of Onion, Celery, Green Pepper, Peas, Mayonnaise, Cheese, Eggs and/or Bacon)",grocery,8,281,7.54,60,25.61,1.4,4,5.66,5.38,1 cup,306,3.95,15,14
,Pig in A Blanket (Frankfurter or Hot Dog Wrapped in Dough),grocery,13,275,14.15,22,20.96,0.4,8,7.4,6.493,1 pig in blanket,814,1.22,1,0
,"Orange Juice with Calcium Added (Bottled or in a Carton, Canned)",grocery,4,13,3.05,0,0.04,0.1,1,0.18,0.006,1 fl oz,1,2.6,0,18
,Ground Beef with Tomato Sauce and Taco Seasonings On A Cornbread Crust,grocery,9,351,37.07,72,14.68,3.9,17,17.09,4.908,1 cup,1101,12.67,7,11
,"Pineapple Grapefruit Juice with Sugar (Bottled or in a Carton, Canned)",grocery,2,130,31.65,0,0.27,0.2,3,1.08,0.025,1 cup,2,27.98,0,80
,Milk (2% Lowfat with Added Vitamin A and Nonfat Solids),grocery,31,125,12.18,20,4.7,0,1,8.53,2.928,1 cup,127,-,10,4
,Milk (Nonfat with Added Vitamin A and Protein),grocery,35,101,13.68,5,0.62,0,1,9.74,0.399,1 cup,145,-,10,4
,Puerto Rican Style Tamal in A Leaf (Tamales En Hoja),grocery,1,66,4.85,24,3.62,0.7,2,3.92,0.861,"1 tamal (6"" x 2"" x 1/2"")",118,1.89,2,4
,Milk (1% Lowfat with Added Vitamin A and Nonfat Solids),grocery,31,105,12.18,10,2.38,0,1,8.53,1.48,1 cup,127,-,10,4
,"Pineapple Grapefruit Juice Unsweetened (Bottled or in a Carton, Canned)",grocery,2,115,27.3,0,0.28,0.5,4,1.1,0.028,1 cup,5,23.55,0,82
,"Pineapple Orange Juice (Bottled or in a Carton, Canned)",grocery,2,120,28.4,0,0.32,0.5,5,1.2,0.032,1 cup,5,22.98,4,92
,"Grapefruit Juice (Bottled or in a Carton, Canned)",grocery,2,94,22.13,0,0.25,0.2,3,1.28,0.032,1 cup,2,21.88,0,120
,Milk (2% Lowfat with Added Vitamin A and Protein),grocery,35,138,13.51,20,4.87,0,1,9.72,3.031,1 cup,145,12.94,0,4
,Milk (Nonfat with Added Vitamin A and Nonfat Solids),grocery,32,91,12.3,5,0.61,0,1,8.75,0.397,1 cup,130,12.3,10,4
,Milk (2% Lowfat Without Added Vitamin A and Nonfat Solids),grocery,35,137,13.45,20,4.85,0,1,9.68,3.018,1 cup,145,-,4,4
,Milk (1% Lowfat with Added Vitamin A and Protein),grocery,35,118,13.58,10,2.88,0,1,9.67,1.791,1 cup,143,-,10,5
,Ground Beef with Tomato Sauce on a Pizza Crust,grocery,4,441,42.98,70,17.75,1.9,24,25.51,6.299,1 piece (1/6 of whole pan),1241,6.38,2,3
,"Orange Juice (Bottled or in a Carton, Canned)",grocery,2,105,24.53,0,0.35,0.5,6,1.47,0.045,1 cup,5,20.92,9,143
,"Pineapple Grapefruit Juice (Bottled or in a Carton, Canned)",grocery,2,115,27.3,0,0.28,0.5,4,1.1,0.028,1 cup,5,23.55,0,82
,"Chicken or Turkey A La King with Vegetables in Cream, White or Soup-Based Sauce (Including Carrots, Broccoli, and/or Dark-Green Leafy, No Potatoes)",grocery,15,465,16.41,190,33.38,1.4,10,24.41,12.002,1 cup,824,4.36,124,10
,Milk (2% Lowfat with Added Vitamin A),grocery,28,122,11.42,20,4.81,0,0,8.05,3.067,1 cup,100,12.35,9,1
,Evaporated Milk (with Added Vitamin A),grocery,8,42,3.16,9,2.38,0,0,2.15,1.446,1 fl oz,33,-,2,1
,Milk (Nonfat with Added Vitamin A),grocery,31,83,12.15,5,0.2,0,0,8.26,0.287,1 cup,103,12.47,10,0
,Frozen Whipped Gelatin on a Stick,grocery,0,33,7.52,0,0,0,0,0.65,0,1 bar (pop),40,7.15,0,0
,Milk (1% Lowfat with Added Vitamin A),grocery,29,102,12.18,12,2.37,0,0,8.22,1.545,1 cup,107,12.69,10,0
,"Milk (Nonfat with Added Vitamin A, Instant)",grocery,84,243,35.49,12,0.49,0,1,23.87,0.318,1 cup,373,35.49,32,6
,"Milk (Nonfat with Added Vitamin A, Dry)",grocery,151,434,62.38,24,0.92,0,2,43.39,0.599,1 cup,642,62.38,52,14
,Muffin in a Minute,grocery,23,333,15.08,186,26.25,12.5,22,13.07,5.506,1 medium,154,1.85,6,1
,"Chicken or Turkey A La King with Vegetables in Cream, White or Soup-Based Sauce",grocery,14,460,15.3,190,33.4,1.2,11,24.8,11.994,1 cup,952,3.93,28,8
,Egg Roll in a Bowl,grocery,9,280,10.6,56,19.76,3.6,11,16.09,6.604,1 bowl,739,5.64,6,77
,Puerto Rican Style Pork Chop Stewed with Vegetables (Chuletas A La Jardinera),grocery,6,221,14.9,63,6.98,2.1,12,25.47,2.249,1 cup,999,5.5,4,20
,Puerto Rican Style Fish A La Creole (Pescado Frito Con Mojo),grocery,4,326,8.39,83,21.36,1.7,7,25.18,3.834,"1 slice (4"" x 3-1/2"" x 1/2"") with sauce",1444,3.9,7,18
,"Mexican Style Stewed Beans with Pork, Tomatoes and Chili Peppers (Frijoles A La Charra)",grocery,5,341,23.35,27,21.54,4.6,13,13.77,7.541,1 cup,719,1.94,4,15
,Puerto Rican Style Creamed Christophine (Chayote A La Crema),grocery,5,150,26.18,44,4.41,1.6,4,2.38,1.274,"1 serving (1/2 chayote, 4-1/2"" x 3-1/2"" x 1-1/2"") (without shell)",301,18.81,3,8
,Puerto Rican Style Seafood Paella (Paella A La Marinera),grocery,12,331,21.51,168,10.24,1.6,33,36.43,2.088,1 cup,642,2.67,16,57
,Chicken A La King with Rice (Frozen Meal),grocery,11,449,40.32,126,22.81,1.3,14,19.58,8.17,1 Stouffer's meal (9.5 oz),1049,2.72,19,5
,Puerto Rican Style Biscayne Codfish (Bacalao A La Vizcaina),grocery,4,345,24.76,33,20.82,3.3,8,16.17,2.91,1 cup,397,6.98,4,34
,Puerto Rican Style Beef Stew (Carne A La Judia),grocery,2,419,12.79,86,27.63,1.9,19,28.74,8.564,1 cup,1080,1.79,3,23
,Puerto Rican Style Lobster Creole (Langosta A La Criolla),grocery,10,409,12.63,140,24.95,2.2,10,29.4,3.543,1 cup,1600,5.9,9,32
,Cuban Style Black Beans (Habichuelas Negras Guisadas A La Cubana),grocery,11,305,50,3,4.32,11.6,22,16.07,0.926,1 cup,1115,4.86,2,23
,Puerto Rican Style Eggs A La Malaguena (Huevos A La Malaguena),grocery,4,130,7.71,239,6.19,1.9,10,11.04,1.907,1 extra large,934,3.66,11,10
,"Chicken or Turkey A La King with Vegetables in Cream, White or Soup-Based Sauce (Including Carrots, Broccoli, and/or Dark-Green Leafy, No Potatoes)",grocery,15,465,16.41,190,33.38,1.4,10,24.41,12.002,1 cup,824,4.36,124,10
,"Seven-Layer Salad (Lettuce Salad Made with A Combination Of Onion, Celery, Green Pepper, Peas, Mayonnaise, Cheese, Eggs and/or Bacon)",grocery,8,281,7.54,60,25.61,1.4,4,5.66,5.38,1 cup,306,3.95,15,14
,"Chicken or Turkey A La King with Vegetables in Cream, White or Soup-Based Sauce",grocery,14,460,15.3,190,33.4,1.2,11,24.8,11.994,1 cup,952,3.93,28,8
,Pig in A Blanket (Frankfurter or Hot Dog Wrapped in Dough),grocery,13,275,14.15,22,20.96,0.4,8,7.4,6.493,1 pig in blanket,814,1.22,1,0
,"Orange Juice with Calcium Added (Bottled or in a Carton, Canned)",grocery,4,13,3.05,0,0.04,0.1,1,0.18,0.006,1 fl oz,1,2.6,0,18
,Ground Beef with Tomato Sauce and Taco Seasonings On A Cornbread Crust,grocery,9,351,37.07,72,14.68,3.9,17,17.09,4.908,1 cup,1101,12.67,7,11
,Puerto Rican Style Pork Chop Stewed with Vegetables (Chuletas A La Jardinera),grocery,6,221,14.9,63,6.98,2.1,12,25.47,2.249,1 cup,999,5.5,4,20
,Puerto Rican Style Fish A La Creole (Pescado Frito Con Mojo),grocery,4,326,8.39,83,21.36,1.7,7,25.18,3.834,"1 slice (4"" x 3-1/2"" x 1/2"") with sauce",1444,3.9,7,18
,"Mexican Style Stewed Beans with Pork, Tomatoes and Chili Peppers (Frijoles A La Charra)",grocery,5,341,23.35,27,21.54,4.6,13,13.77,7.541,1 cup,719,1.94,4,15
,"Pineapple Grapefruit Juice with Sugar (Bottled or in a Carton, Canned)",grocery,2,130,31.65,0,0.27,0.2,3,1.08,0.025,1 cup,2,27.98,0,80
,Puerto Rican Style Creamed Christophine (Chayote A La Crema),grocery,5,150,26.18,44,4.41,1.6,4,2.38,1.274,"1 serving (1/2 chayote, 4-1/2"" x 3-1/2"" x 1-1/2"") (without shell)",301,18.81,3,8
,Milk (2% Lowfat with Added Vitamin A and Nonfat Solids),grocery,31,125,12.18,20,4.7,0,1,8.53,2.928,1 cup,127,-,10,4
,Milk (Nonfat with Added Vitamin A and Protein),grocery,35,101,13.68,5,0.62,0,1,9.74,0.399,1 cup,145,-,10,4
,Puerto Rican Style Seafood Paella (Paella A La Marinera),grocery,12,331,21.51,168,10.24,1.6,33,36.43,2.088,1 cup,642,2.67,16,57
,Chicken A La King with Rice (Frozen Meal),grocery,11,449,40.32,126,22.81,1.3,14,19.58,8.17,1 Stouffer's meal (9.5 oz),1049,2.72,19,5
,Puerto Rican Style Biscayne Codfish (Bacalao A La Vizcaina),grocery,4,345,24.76,33,20.82,3.3,8,16.17,2.91,1 cup,397,6.98,4,34
,Puerto Rican Style Beef Stew (Carne A La Judia),grocery,2,419,12.79,86,27.63,1.9,19,28.74,8.564,1 cup,1080,1.79,3,23
,Puerto Rican Style Lobster Creole (Langosta A La Criolla),grocery,10,409,12.63,140,24.95,2.2,10,29.4,3.543,1 cup,1600,5.9,9,32
,Puerto Rican Style Tamal in A Leaf (Tamales En Hoja),grocery,1,66,4.85,24,3.62,0.7,2,3.92,0.861,"1 tamal (6"" x 2"" x 1/2"")",118,1.89,2,4
,Milk (1% Lowfat with Added Vitamin A and Nonfat Solids),grocery,31,105,12.18,10,2.38,0,1,8.53,1.48,1 cup,127,-,10,4
,Cuban Style Black Beans (Habichuelas Negras Guisadas A La Cubana),grocery,11,305,50,3,4.32,11.6,22,16.07,0.926,1 cup,1115,4.86,2,23
,"Pineapple Grapefruit Juice Unsweetened (Bottled or in a Carton, Canned)",grocery,2,115,27.3,0,0.28,0.5,4,1.1,0.028,1 cup,5,23.55,0,82
,"Pineapple Orange Juice (Bottled or in a Carton, Canned)",grocery,2,120,28.4,0,0.32,0.5,5,1.2,0.032,1 cup,5,22.98,4,92
,"Grapefruit Juice (Bottled or in a Carton, Canned)",grocery,2,94,22.13,0,0.25,0.2,3,1.28,0.032,1 cup,2,21.88,0,120
,Milk (2% Lowfat with Added Vitamin A and Protein),grocery,35,138,13.51,20,4.87,0,1,9.72,3.031,1 cup,145,12.94,0,4
,Milk (Nonfat with Added Vitamin A and Nonfat Solids),grocery,32,91,12.3,5,0.61,0,1,8.75,0.397,1 cup,130,12.3,10,4
,Milk (2% Lowfat Without Added Vitamin A and Nonfat Solids),grocery,35,137,13.45,20,4.85,0,1,9.68,3.018,1 cup,145,-,4,4
,Milk (1% Lowfat with Added Vitamin A and Protein),grocery,35,118,13.58,10,2.88,0,1,9.67,1.791,1 cup,143,-,10,5
,Ground Beef with Tomato Sauce on a Pizza Crust,grocery,4,441,42.98,70,17.75,1.9,24,25.51,6.299,1 piece (1/6 of whole pan),1241,6.38,2,3
,"Orange Juice (Bottled or in a Carton, Canned)",grocery,2,105,24.53,0,0.35,0.5,6,1.47,0.045,1 cup,5,20.92,9,143
,"Pineapple Grapefruit Juice (Bottled or in a Carton, Canned)",grocery,2,115,27.3,0,0.28,0.5,4,1.1,0.028,1 cup,5,23.55,0,82
,Milk (2% Lowfat with Added Vitamin A),grocery,28,122,11.42,20,4.81,0,0,8.05,3.067,1 cup,100,12.35,9,1
,Evaporated Milk (with Added Vitamin A),grocery,8,42,3.16,9,2.38,0,0,2.15,1.446,1 fl oz,33,-,2,1
,Puerto Rican Style Eggs A La Malaguena (Huevos A La Malaguena),grocery,4,130,7.71,239,6.19,1.9,10,11.04,1.907,1 extra large,934,3.66,11,10
,Milk (Nonfat with Added Vitamin A),grocery,31,83,12.15,5,0.2,0,0,8.26,0.287,1 cup,103,12.47,10,0
,Frozen Whipped Gelatin on a Stick,grocery,0,33,7.52,0,0,0,0,0.65,0,1 bar (pop),40,7.15,0,0
,Milk (1% Lowfat with Added Vitamin A),grocery,29,102,12.18,12,2.37,0,0,8.22,1.545,1 cup,107,12.69,10,0
,"Milk (Nonfat with Added Vitamin A, Instant)",grocery,84,243,35.49,12,0.49,0,1,23.87,0.318,1 cup,373,35.49,32,6
,"Cowpeas (Blackeyes, Crowder, Southern) (Mature Seeds, with Pork, Canned)",grocery,4,199,39.67,17,3.84,7.9,19,6.58,1.452,1 cup,840,-,0,1
,"Cowpeas (Blackeyes, Crowder, Southern) (Mature Seeds, Without Salt, Cooked, Boiled)",grocery,4,200,35.71,0,0.91,11.2,24,13.3,0.237,1 cup,7,5.68,1,1
,"Cowpeas (Blackeyes, Crowder, Southern) (Mature Seeds, with Salt, Cooked, Boiled)",grocery,4,198,35.5,0,0.91,11.1,24,13.22,0.236,1 cup,410,5.64,1,1
,"Milk (Nonfat with Added Vitamin A, Dry)",grocery,151,434,62.38,24,0.92,0,2,43.39,0.599,1 cup,642,62.38,52,14
,"Cowpeas (Blackeyes, Crowder, Southern) (Mature Seeds, Canned)",grocery,5,185,32.71,0,1.32,7.9,13,11.38,0.346,1 cup,718,-,1,11
,"Cowpeas (Blackeyes, Crowder, Southern) (Mature Seeds)",grocery,18,561,100.25,0,2.1,17.7,77,39.28,0.553,1 cup,27,11.52,2,4
,Muffin in a Minute,grocery,23,333,15.08,186,26.25,12.5,22,13.07,5.506,1 medium,154,1.85,6,1
,Egg Roll in a Bowl,grocery,9,280,10.6,56,19.76,3.6,11,16.09,6.604,1 bowl,739,5.64,6,77
,"Chicken or Turkey A La King with Vegetables in Cream, White or Soup-Based Sauce (Including Carrots, Broccoli, and/or Dark-Green Leafy, No Potatoes)",grocery,15,465,16.41,190,33.38,1.4,10,24.41,12.002,1 cup,824,4.36,124,10
,"Reduced Sodium Cream of Chicken or Turkey Soup (with Water, Canned)",grocery,2,73,11.93,7,1.63,0.5,1,2.27,0.627,1 cup,451,0.49,11,0
,"Beef Eye Of Round (Trimmed to 0"" Fat, Select Grade, Cooked, Roasted)",grocery,0,48,0,15,1.34,0,4,8.41,0.481,1 oz,11,0,0,0
,"Beef Eye Of Round (Lean Only, Trimmed to 0"" Fat, Choice Grade, Cooked, Roasted)",grocery,0,138,0,49,3.66,0,12,24.43,1.277,3 oz,32,0,0,0
,"Beef Eye Of Round (Trimmed to 1/8"" Fat, Choice Grade)",grocery,0,49,0,12,2.53,0,3,6.15,0.995,1 oz,16,0,0,0
,"Beef Eye Of Round (Lean Only, Trimmed to 1/8"" Fat, Choice Grade, Cooked, Roasted)",grocery,0,50,0,20,1.5,0,4,8.47,0.518,1 oz,11,0,0,0
,Puerto Rican Style Cream Of Wheat (made with Milk and Sugar Cooked),grocery,37,306,46.8,32,8.77,1,39,10.19,5.162,1 cup of cooked,377,27.73,5,3
,"Beef Eye Of Round (Trimmed to 0"" Fat, Choice Grade, Cooked, Roasted)",grocery,0,47,0,15,1.38,0,4,8.1,0.496,1 oz,10,0,0,0
,"Beef Eye Of Round (Lean Only, Trimmed to 0"" Fat, Select Grade, Cooked, Roasted)",grocery,0,139,0,44,3.29,0,11,25.43,1.147,3 oz,33,0,0,0
,"Beef Eye Of Round (Trimmed to 1/2"" Fat, Prime Grade, Cooked, Roasted)",grocery,0,212,0,61,12.71,0,9,22.96,5.117,3 oz,50,-,0,0
,"Beef Eye Of Round (Trimmed to 1/8"" Fat, Cooked, Roasted)",grocery,1,177,0,53,8.2,0,11,24.06,3.114,3 oz,31,0,0,0
,Quick or Instant Cream Of Wheat (Fat Not Added in Cooking),grocery,10,110,22.84,0,0.4,0.8,46,3.11,0.062,1 cup of cooked,449,0.13,0,0
,"Beef Eye Of Round (Trimmed to 1/2"" Fat, Prime Grade)",grocery,1,376,0,102,25.6,0,13,33.87,10.665,6 oz,85,-,0,0
,"Beef Eye Of Round (Lean Only, Trimmed to 1/2"" Fat, Prime Grade)",grocery,0,169,0,61,7.1,0,9,24.66,2.586,4 oz,60,-,0,0
,"Beef Eye Of Round (Lean Only, Trimmed to 1/2"" Fat, Prime Grade, Cooked, Roasted)",grocery,2,628,0,219,26.15,0,34,91.9,10.017,1 piece (excluding refuse) of (yield from 1 lb raw meat with refuse),197,-,0,0
,"Beef Eye Of Round (Lean Only, Trimmed to 1/8"" Fat)",grocery,1,35,0,12,0.85,0,3,6.41,0.291,1 oz,17,0,0,0
,"Beef Eye Of Round (Lean Only, Trimmed to 1/8"" Fat, Choice Grade)",grocery,2,145,0,52,3.83,0,13,25.95,1.313,4 oz,65,0,0,0
,"Beef Eye Of Round (Lean Only, Trimmed to 1/8"" Fat, Select Grade)",grocery,2,135,0,41,2.97,0,12,25.3,1.018,4 oz,70,0,0,0
,"Beef Eye Of Round (Lean Only, Trimmed to 0"" Fat, Cooked, Roasted)",grocery,0,138,0,47,3.48,0,12,24.93,1.212,3 oz,32,0,0,0
,"Beef Eye Of Round (Trimmed to 1/8"" Fat, Choice Grade, Cooked, Roasted)",grocery,0,180,0,54,8.54,0,11,24.21,3.241,3 oz,31,0,0,0
,"Beef Eye Of Round (Trimmed to 1/8"" Fat, Select Grade)",grocery,1,45,0,11,2.15,0,3,6.04,0.845,1 oz,18,0,0,0
,"Low Sodium Cream of Vegetable Soup (Prepared with Water, Made From Dry Mix)",grocery,38,191,25.4,3,0.59,1.5,14,21.31,0.138,1 packet yields,676,14.2,20,30
,"Reduced Sodium Cream of Chicken or Turkey Soup (with Milk, Canned)",grocery,16,134,17.71,17,4.09,0.5,2,6.3,2.115,1 cup,498,6.8,13,0
,"Beef Eye Of Round (Trimmed to 1/8"" Fat, Select Grade, Cooked, Roasted)",grocery,1,173,0,50,7.87,0,11,23.91,2.988,3 oz,31,0,0,0
,"Beef Eye Of Round Roast (Lean Only, Trimmed to 1/8"" Fat, Choice Grade, Cooked, Roasted)",grocery,0,46,0,15,1.17,0,4,8.39,0.401,1 oz,11,0,0,0
,"Beef Eye Of Round (Lean Only, Trimmed to 1/8"" Fat, Cooked, Roasted)",grocery,0,48,0,18,1.34,0,4,8.43,0.46,1 oz,11,0,0,0
,"Chicken or Turkey A La King with Vegetables in Cream, White or Soup-Based Sauce",grocery,14,460,15.3,190,33.4,1.2,11,24.8,11.994,1 cup,952,3.93,28,8
,Pig in A Blanket (Frankfurter or Hot Dog Wrapped in Dough),grocery,13,275,14.15,22,20.96,0.4,8,7.4,6.493,1 pig in blanket,814,1.22,1,0
,"Orange Juice with Calcium Added (Bottled or in a Carton, Canned)",grocery,4,13,3.05,0,0.04,0.1,1,0.18,0.006,1 fl oz,1,2.6,0,18
,Ground Beef with Tomato Sauce and Taco Seasonings On A Cornbread Crust,grocery,9,351,37.07,72,14.68,3.9,17,17.09,4.908,1 cup,1101,12.67,7,11
,Puerto Rican Style Pork Chop Stewed with Vegetables (Chuletas A La Jardinera),grocery,6,221,14.9,63,6.98,2.1,12,25.47,2.249,1 cup,999,5.5,4,20
,Puerto Rican Style Fish A La Creole (Pescado Frito Con Mojo),grocery,4,326,8.39,83,21.36,1.7,7,25.18,3.834,"1 slice (4"" x 3-1/2"" x 1/2"") with sauce",1444,3.9,7,18
,"Mexican Style Stewed Beans with Pork, Tomatoes and Chili Peppers (Frijoles A La Charra)",grocery,5,341,23.35,27,21.54,4.6,13,13.77,7.541,1 cup,719,1.94,4,15
,Homemade-Style Spaghetti Sauce with combination of Meats,grocery,6,284,19.07,45,16.43,4,20,17.4,4.191,1 cup,1175,10.78,20,30
,Cream of Rice (Fat Not Added in Cooking),grocery,1,127,27.72,0,0.24,0.2,3,2.2,0.066,1 cup of cooked,378,0.05,0,0
,Quick or Instant Cream Of Wheat (Fat Added in Cooking),grocery,10,182,22.71,0,8.53,0.8,45,3.07,1.587,1 cup of cooked,509,0.13,6,0
,"Beef Eye Of Round (Trimmed to 1/8"" Fat)",grocery,1,47,0,12,2.34,0,3,6.09,0.92,1 oz,16,0,0,0
,"Cream Of Mushroom Soup (Reduced Sodium, Condensed, Canned)",grocery,3,131,20.33,8,4.24,1.5,7,3.04,1.33,1 cup,961,5.35,0,0
,"Cream Of Asparagus Soup (with Equal Volume Milk, Canned)",grocery,17,161,16.39,22,8.18,0.7,5,6.32,3.323,1 cup (8 fl oz),1042,-,12,7
,"Cream Of Asparagus Soup (with Equal Volume Water, Canned)",grocery,3,85,10.69,5,4.1,0.5,4,2.29,1.049,1 cup (8 fl oz),981,-,9,4
,"Cream Of Onion Soup (with Equal Volume Water, Canned)",grocery,3,107,12.69,15,5.27,1,4,2.76,1.464,1 cup (8 fl oz),927,-,6,2
,"Pork Composite Of Trimmed Leg, Loin, Shoulder, and Spareribs",grocery,0,64,0,20,4.67,0,1,5.17,1.636,1 oz,15,0,0,0
,Cream Of Wheat (Fat Not Added in Cooking),grocery,10,110,22.69,0,0.45,1,45,3.11,0.07,1 cup of cooked,331,0.05,0,0
,Instant Cream Of Wheat (Fat Not Added in Cooking),grocery,14,133,27.57,0,0.51,1.2,58,3.86,0.082,1 cup,383,0.14,33,0
